ngam,gam,biomass,status
0,40.0,0.981526456270271,optimal
0,45.0,0.947827977871531,optimal
0,50.0,0.916366616882581,optimal
0,55.0,0.88692675584259,optimal
0,60.0,0.859319535996895,optimal
0,70.0,0.808204584839799,optimal
0,75.55,0.781912828500446,optimal
0,80.0,0.762036280341165,optimal
0,100.0,0.68390121402967,optimal
1,40.0,0.974897683208177,optimal
1,45.0,0.941426790001291,optimal
1,50.0,0.910177903148573,optimal
1,55.0,0.880936866407116,optimal
1,60.0,0.85351564021025,optimal
1,70.0,0.802543971414002,optimal
1,75.55,0.77643636086114,optimal
1,80.0,0.756699026778917,optimal
1,100.0,0.679111213343556,optimal
2,40.0,0.968268911549274,optimal
2,45.0,0.93502560213105,optimal
2,50.0,0.90398919063764,optimal
2,55.0,0.874946973523461,optimal
2,60.0,0.847711744423585,optimal
2,70.0,0.796883357988178,optimal
2,75.55,0.770959893221806,optimal
2,80.0,0.751361773216673,optimal
2,100.0,0.674321212809252,optimal
3,40.0,0.961640139890371,optimal
3,45.0,0.928624414260811,optimal
3,50.0,0.897800478126717,optimal
3,55.0,0.868957062602944,optimal
3,60.0,0.841907839638796,optimal
3,70.0,0.791222744562363,optimal
3,75.55,0.765483425582488,optimal
3,80.0,0.746024519654434,optimal
3,100.0,0.669531212274944,optimal
4,40.0,0.955011368231493,optimal
4,45.0,0.922223226390548,optimal
4,50.0,0.891611765615798,optimal
4,55.0,0.862967151682434,optimal
4,60.0,0.836103931091452,optimal
4,70.0,0.785562131136527,optimal
4,75.55,0.760006957943154,optimal
4,80.0,0.740687266092172,optimal
4,100.0,0.664741211712353,optimal
5,40.0,0.948382596572598,optimal
5,45.0,0.915822038520306,optimal
5,50.0,0.885423053104874,optimal
5,55.0,0.856976913946341,optimal
5,60.0,0.830199522320094,optimal
5,70.0,0.779901517710719,optimal
5,75.55,0.754530490303826,optimal
5,80.0,0.7353500125299,optimal
5,100.0,0.659951211702149,optimal
6,40.0,0.941753824913697,optimal
6,45.0,0.909420850650062,optimal
6,50.0,0.879234340593949,optimal
6,55.0,0.850986543768955,optimal
6,60.0,0.824173840287885,optimal
6,70.0,0.774240904284903,optimal
6,75.55,0.749054022664498,optimal
6,80.0,0.73001275896769,optimal
6,100.0,0.655159755739188,optimal
7,40.0,0.935125053254815,optimal
7,45.0,0.903019662779801,optimal
7,50.0,0.87304561330591,optimal
7,55.0,0.844996168259583,optimal
7,60.0,0.8181481582557,optimal
7,70.0,0.768580290859087,optimal
7,75.55,0.7435775550252,optimal
7,80.0,0.724675505405431,optimal
7,100.0,0.650354337883514,optimal
